title,description,image,url,keywords,category
Truman and Tennessee: An Intimate Conversation,Docudrama that creates a fascinating comparison of two iconic 20th-century writers.,https://ichef.bbci.co.uk/images/ic/1200x675/p0b0y66h.jpg,https://www.bbc.co.uk/iplayer/episode/m0011fb0/truman-and-tennessee-an-intimate-conversation,"BBC, iPlayer, TV, Truman and Tennessee: An Intimate Conversation",arts
The Joy of Painting - Series 5: 26. Balmy Beach,"Bob Ross invites you to walk along the shore, with soothing waves rolling in from the sea.",https://ichef.bbci.co.uk/images/ic/1200x675/p0b222x6.jpg,https://www.bbc.co.uk/iplayer/episode/m0011mtt/the-joy-of-painting-series-5-26-balmy-beach,"BBC, iPlayer, TV, The Joy of Painting, Series 5: 26. Balmy Beach",arts
Drama Shorts: BBC Introducing Arts,"Chizzy Akudolu presents new short films about secrets, love and family.",https://ichef.bbci.co.uk/images/ic/1200x675/p0b34vdy.jpg,https://www.bbc.co.uk/iplayer/episode/m0011mtz/drama-shorts-bbc-introducing-arts,"BBC, iPlayer, TV, Drama Shorts: BBC Introducing Arts",arts
Bridget Riley - Painting the Line,A portrait of a true visionary and one of our greatest living painters.,https://ichef.bbci.co.uk/images/ic/1200x675/p0b28ypg.jpg,https://www.bbc.co.uk/iplayer/episode/m0011psx/bridget-riley-painting-the-line,"BBC, iPlayer, TV, Bridget Riley - Painting the Line",arts
Lindisfarne’s Geordie Genius: The Alan Hull Story,Sam Fender traces the career of fellow Geordie music legend - Alan Hull of Lindisfarne.,https://ichef.bbci.co.uk/images/ic/1200x675/p0b3mp7j.jpg,https://www.bbc.co.uk/iplayer/episode/m0011vbk/lindisfarnes-geordie-genius-the-alan-hull-story,"BBC, iPlayer, TV, Lindisfarne’s Geordie Genius: The Alan Hull Story",arts
Meet You at the Hippos,Mark Bonnar explores the street sculpture of the Scottish new towns in which he grew up.,https://ichef.bbci.co.uk/images/ic/1200x675/p0b3z2fb.jpg,https://www.bbc.co.uk/iplayer/episode/m00124rq/meet-you-at-the-hippos,"BBC, iPlayer, TV, Meet You at the Hippos",arts
100 Women in Conversation: Chimamanda Ngozi Adichie,A special BBC 100 Women interview with author Chimamanda Ngozi Adichie.,https://ichef.bbci.co.uk/images/ic/1200x675/p0b6krmf.jpg,https://www.bbc.co.uk/iplayer/episode/m001255p/100-women-in-conversation-chimamanda-ngozi-adichie,"BBC, iPlayer, TV, 100 Women in Conversation: Chimamanda Ngozi Adichie",arts
Animated Shorts: BBC Introducing Arts,Explore imagined and thought-provoking animated worlds with Elle Osili-Wood.,https://ichef.bbci.co.uk/images/ic/1200x675/p0b70n69.jpg,https://www.bbc.co.uk/iplayer/episode/m0012j68/animated-shorts-bbc-introducing-arts,"BBC, iPlayer, TV, Animated Shorts: BBC Introducing Arts",arts
Reel Stories - Sting,Sting joins Dermot O’Leary for an in-depth interview about his life and career.,https://ichef.bbci.co.uk/images/ic/1200x675/p0b6ypxs.jpg,https://www.bbc.co.uk/iplayer/episode/m0012kcq/reel-stories-sting,"BBC, iPlayer, TV, Reel Stories, Sting",arts
Between the Covers  - Series 3: Episode 6,"Sara is joined by Greg James, Imogen Stubbs, Fleur East and Lloyd Griffith.",https://ichef.bbci.co.uk/images/ic/1200x675/p0b6jlv2.jpg,https://www.bbc.co.uk/iplayer/episode/m0012l0n/between-the-covers-series-3-episode-6,"BBC, iPlayer, TV, Between the Covers , Series 3: Episode 6",arts
Quentin Blake – The Drawing of My Life,The beloved illustrator and famous fans on Roald Dahl and other artistic adventures.,https://ichef.bbci.co.uk/images/ic/1200x675/p0b8lzcy.jpg,https://www.bbc.co.uk/iplayer/episode/m0012xpw/quentin-blake-the-drawing-of-my-life,"BBC, iPlayer, TV, Quentin Blake – The Drawing of My Life",arts
The Big Scottish Book Club - Series 3: Episode 8,"Damian Barr talks short stories with Bernard MacLaverty, Val McDermid and Kit de Waal.",https://ichef.bbci.co.uk/images/ic/1200x675/p0b7sb5d.jpg,https://www.bbc.co.uk/iplayer/episode/m0012yzy/the-big-scottish-book-club-series-3-episode-8,"BBC, iPlayer, TV, The Big Scottish Book Club, Series 3: Episode 8",arts
Daniel O’Donnell - The Boy from Donegal,"Documentary marking Daniel O’Donnell’s 60th birthday, with access to his recent tours.",https://ichef.bbci.co.uk/images/ic/1200x675/p0b9rbg6.jpg,https://www.bbc.co.uk/iplayer/episode/m0012zf8/daniel-odonnell-the-boy-from-donegal,"BBC, iPlayer, TV, Daniel O’Donnell - The Boy from Donegal",arts
This Is Joan Collins,The Dynasty star narrates her rollercoaster life story.,https://ichef.bbci.co.uk/images/ic/1200x675/p0b9pshh.jpg,https://www.bbc.co.uk/iplayer/episode/m00135h7/this-is-joan-collins,"BBC, iPlayer, TV, This Is Joan Collins",arts
Sondheim – A Tribute from Andrew Lloyd Webber,Andrew Lloyd Webber pays tribute to Stephen Sondheim.,https://ichef.bbci.co.uk/images/ic/1200x675/p0bct71x.jpg,https://www.bbc.co.uk/iplayer/episode/m0013kjv/sondheim-a-tribute-from-andrew-lloyd-webber,"BBC, iPlayer, TV, Sondheim – A Tribute from Andrew Lloyd Webber",arts
The Band - Series 2: Episode 3,The Graham family from Rathfriland prepare for their band’s annual tractor run.,https://ichef.bbci.co.uk/images/ic/1200x675/p0bfr9s9.jpg,https://www.bbc.co.uk/iplayer/episode/m0013q75/the-band-series-2-episode-3,"BBC, iPlayer, TV, The Band, Series 2: Episode 3",arts
The Royal Ballet: The Dante Project,Wayne McGregor’s ballet The Dante Project from the Royal Opera House.,https://ichef.bbci.co.uk/images/ic/1200x675/p0bj3r9h.jpg,https://www.bbc.co.uk/iplayer/episode/m0013v98/the-royal-ballet-the-dante-project,"BBC, iPlayer, TV, The Royal Ballet: The Dante Project",arts
Art on the BBC - Series 2: 4. Turner - Light and Landscape,Leslie Primo explores the BBC archives to create a television history of JMW Turner.,https://ichef.bbci.co.uk/images/ic/1200x675/p0bhqvf2.jpg,https://www.bbc.co.uk/iplayer/episode/m0013vd0/art-on-the-bbc-series-2-4-turner-light-and-landscape,"BBC, iPlayer, TV, Art on the BBC, Series 2: 4. Turner - Light and Landscape",arts
Survivors: Portraits of the Holocaust,Following seven leading artists as they paint seven survivors of the Holocaust. ,https://ichef.bbci.co.uk/images/ic/1200x675/p0bj1x94.jpg,https://www.bbc.co.uk/iplayer/episode/m0013xhz/survivors-portraits-of-the-holocaust,"BBC, iPlayer, TV, Survivors: Portraits of the Holocaust",arts
Branagh: bringing Belfast home,"Sir Kenneth Branagh is profiled as his Oscar-tipped new film Belfast is released here.
",https://ichef.bbci.co.uk/images/ic/1200x675/p0bhph85.jpg,https://www.bbc.co.uk/iplayer/episode/m0013yg8/branagh-bringing-belfast-home,"BBC, iPlayer, TV, Branagh: bringing Belfast home",arts
"The Narrow Sea, The Farther Shore with Phil Cunningham - Series 1: Episode 2",Unique insights into musician and composer Phil Cunningham’s creative process.,https://ichef.bbci.co.uk/images/ic/1200x675/p0bjdj3t.jpg,https://www.bbc.co.uk/iplayer/episode/m00144tf/the-narrow-sea-the-farther-shore-with-phil-cunningham-series-1-episode-2,"BBC, iPlayer, TV, The Narrow Sea, The Farther Shore with Phil Cunningham, Series 1: Episode 2",arts
